 Match ID  innings         team   opposition                   name  overs  balls  maidens  conceded  wickets  economy  dots  fours  sixes  wides  noballs
  1307293        1    Australia    Sri Lanka               MA Starc    4.0   24.0      0.0      26.0      3.0     6.50  13.0    1.0    0.0    3.0      0.0
  1307293        1    Australia    Sri Lanka           JR Hazlewood    4.0   24.0      0.0      16.0      4.0     4.00  15.0    2.0    0.0    0.0      0.0
  1307293        1    Australia    Sri Lanka               MR Marsh    2.0   12.0      0.0      21.0      0.0    10.50   3.0    2.0    1.0    0.0      0.0
  1307293        1    Australia    Sri Lanka             GJ Maxwell    2.0   12.0      0.0      18.0      0.0     9.00   2.0    2.0    0.0    0.0      0.0
  1307293        1    Australia    Sri Lanka          KW Richardson    3.3   21.0      0.0      22.0      1.0     6.28  13.0    3.0    1.0    0.0      0.0
  1307293        1    Australia    Sri Lanka                AC Agar    4.0   24.0      0.0      25.0      0.0     6.25   7.0    0.0    1.0    0.0      0.0
  1307293        2    Sri Lanka    Australia           M Theekshana    4.0   24.0      0.0      25.0      0.0     6.25  11.0    2.0    0.0    1.0      0.0
  1307293        2    Sri Lanka    Australia             N Thushara    2.0   12.0      0.0      21.0      0.0    10.50   2.0    2.0    0.0    2.0      0.0
  1307293        2    Sri Lanka    Australia           PVD Chameera    4.0   24.0      0.0      48.0      0.0    12.00   4.0    5.0    2.0    0.0      0.0
  1307293        2    Sri Lanka    Australia           PWH de Silva    2.0   12.0      0.0      27.0      0.0    13.50   4.0    3.0    2.0    0.0      0.0
  1307293        2    Sri Lanka    Australia          C Karunaratne    2.0   12.0      0.0      13.0      0.0     6.50   2.0    1.0    0.0    0.0      0.0
  1380583        1      Germany      Belgium          Ghulam Ahmadi    4.0   24.0      0.0      23.0      5.0     5.75  14.0    2.0    1.0    0.0      0.0
  1380583        1      Germany      Belgium             Muslim Yar    3.0   18.0      0.0      40.0      0.0    13.33   7.0    4.0    3.0    0.0      1.0
  1380583        1      Germany      Belgium          Shahid Afridi    3.0   18.0      0.0      33.0      1.0    11.00   7.0    2.0    3.0    0.0      0.0
  1380583        1      Germany      Belgium           Sahir Naqash    2.4   16.0      0.0      26.0      2.0     9.75  10.0    3.0    2.0    1.0      0.0
  1380583        1      Germany      Belgium           SVE Bharathi    3.0   18.0      0.0      14.0      0.0     4.66  10.0    1.0    0.0    0.0      0.0
  1380583        1      Germany      Belgium              V Ganesan    4.0   24.0      0.0      28.0      2.0     7.00  10.0    1.0    2.0    1.0      0.0
  1380583        2      Belgium      Germany           Murid Ekrami    3.3   21.0      0.0      38.0      1.0    10.85  10.0    3.0    3.0    1.0      0.0
  1278685        1        India    Sri Lanka                B Kumar    4.0   24.0      0.0      36.0      1.0     9.00   8.0    4.0    1.0    1.0      0.0
  1380583        2      Belgium      Germany          Khalid Ahmadi    4.0   24.0      0.0      41.0      0.0    10.25   5.0    4.0    1.0    2.0      0.0
  1278685        1        India    Sri Lanka              JJ Bumrah    4.0   24.0      0.0      24.0      1.0     6.00  14.0    4.0    0.0    2.0      0.0
  1380583        2      Belgium      Germany        Shagharai Sefat    4.0   24.0      0.0      24.0      3.0     6.00  11.0    0.0    2.0    0.0      0.0
  1278685        1        India    Sri Lanka               HV Patel    4.0   24.0      0.0      52.0      1.0    13.00   7.0    4.0    4.0    1.0      0.0
  1380583        2      Belgium      Germany           Adnan Razzaq    4.0   24.0      0.0      32.0      0.0     8.00   7.0    2.0    1.0    2.0      0.0
  1278685        1        India    Sri Lanka              YS Chahal    4.0   24.0      0.0      27.0      1.0     6.75   7.0    3.0    0.0    0.0      0.0
  1380583        2      Belgium      Germany                 B Niaz    4.0   24.0      0.0      32.0      1.0     8.00   7.0    2.0    1.0    2.0      0.0
  1278685        1        India    Sri Lanka              RA Jadeja    4.0   24.0      0.0      37.0      1.0     9.25   8.0    3.0    2.0    0.0      0.0
  1278685        2    Sri Lanka        India           PVD Chameera    3.1   19.0      0.0      39.0      1.0    12.31   5.0    5.0    1.0    3.0      0.0
  1072206        1       U.A.E.  Afghanistan             Ahmed Raza    4.0   24.0      0.0      20.0      0.0     5.00  12.0    1.0    1.0    0.0      0.0
  1278685        2    Sri Lanka        India             B Fernando    4.0   24.0      0.0      47.0      0.0    11.75   6.0    8.0    0.0    1.0      1.0
  1072206        1       U.A.E.  Afghanistan        Mohammad Naveed    4.0   24.0      0.0      16.0      1.0     4.00  14.0    1.0    0.0    0.0      0.0
  1278685        2    Sri Lanka        India           CBRLS Kumara    3.0   18.0      0.0      31.0      2.0    10.33   9.0    2.0    3.0    1.0      0.0
  1072206        1       U.A.E.  Afghanistan            Amjad Javed    4.0   24.0      0.0      44.0      1.0    11.00   5.0    5.0    1.0    0.0      1.0
  1343741        1         Mali      Lesotho               SG Diaby    4.0   24.0      0.0      19.0      1.0     4.75  15.0    0.0    0.0    7.0      0.0
  1278685        2    Sri Lanka        India         P Jayawickrama    2.0   12.0      0.0      19.0      0.0     9.50   4.0    0.0    2.0    0.0      0.0
